Date,Product,Quantity,Price,Customer
2023-01-15,Product_8,7,77.74019502359208,Customer_6
2023-09-13,Product_7,9,42.30316150548413,Customer_71
2023-02-23,Product_6,2,28.27653800910615,Customer_9
2023-01-10,Product_8,2,43.1681299806092,Customer_96
2023-05-07,Product_7,10,62.75168980489835,Customer_79
2023-09-19,Product_1,3,76.82096335603613,Customer_12
2023-03-15,Product_9,5,32.980531591525725,Customer_19
2023-01-04,Product_6,9,31.668447733129426,Customer_17
2023-04-07,Product_8,10,45.81848882092618,Customer_82
2023-10-04,Product_1,5,52.030042621010125,Customer_59
2023-02-08,Product_1,5,47.61333331196856,Customer_18
2023-09-22,Product_9,1,75.41166943859217,Customer_56
2023-03-23,Product_6,8,39.215689099628264,Customer_95
2023-04-15,Product_9,4,42.09036695361246,Customer_14
2023-04-02,Product_5,10,87.8633660693996,Customer_45
2023-08-05,Product_6,2,60.08292171971092,Customer_13
2023-10-02,Product_6,8,86.73799075839551,Customer_66
2023-12-08,Product_1,8,15.89579936946601,Customer_17
2023-03-21,Product_2,6,84.07372569592799,Customer_8
2023-05-01,Product_7,5,11.143827714366061,Customer_63
2023-04-01,Product_9,4,80.11727754892149,Customer_95
2023-11-14,Product_6,8,61.11581051472113,Customer_96
2023-03-04,Product_5,1,98.88628314436063,Customer_28
2023-04-27,Product_8,9,66.3741341891016,Customer_69
2023-12-04,Product_4,4,79.73673995065224,Customer_21
2023-12-15,Product_8,9,96.3042998814123,Customer_91
2023-01-14,Product_8,2,15.330496937537346,Customer_63
2023-04-10,Product_8,1,45.90251364449219,Customer_27
2023-10-23,Product_1,4,97.18045885264837,Customer_54
2023-10-06,Product_8,10,56.13122269099816,Customer_90
2023-09-27,Product_1,1,99.36035647900079,Customer_84
2023-09-23,Product_6,6,50.41235344689558,Customer_63
2023-01-27,Product_1,7,25.488690105930058,Customer_40
2023-08-12,Product_1,2,37.775421244374556,Customer_2
2023-06-19,Product_10,4,18.734289797723523,Customer_86
2023-03-27,Product_10,8,15.237637444798642,Customer_1
2023-06-04,Product_8,2,16.132178417116645,Customer_70
2023-04-02,Product_4,6,78.85936470072646,Customer_79
2023-04-13,Product_10,1,16.44747349844957,Customer_64
2023-10-02,Product_3,7,50.47308578325308,Customer_80
2023-08-17,Product_4,5,46.55724217213538,Customer_59
2023-01-09,Product_5,9,29.434234982048707,Customer_89
2023-11-10,Product_7,9,25.241852213452894,Customer_10
2023-07-19,Product_3,6,18.95786070433425,Customer_89
2023-08-11,Product_1,7,98.18285928768006,Customer_58
2023-04-22,Product_7,2,58.09828761897339,Customer_41
2023-08-24,Product_5,4,59.54601681193809,Customer_18
2023-01-24,Product_1,5,86.29151383618549,Customer_24
2023-02-22,Product_6,2,76.81881212468474,Customer_14
2023-11-15,Product_1,1,62.56600694918049,Customer_46
2023-04-25,Product_9,3,92.08985640257414,Customer_84
2023-04-15,Product_9,4,42.79650965055922,Customer_86
2023-05-22,Product_2,3,31.924787474946303,Customer_72
2023-03-10,Product_1,1,54.57012829608211,Customer_4
2023-01-27,Product_8,9,85.7946762113501,Customer_78
2023-09-09,Product_1,1,80.40608876294705,Customer_74
2023-04-28,Product_2,3,11.79700067839707,Customer_1
2023-04-02,Product_9,8,60.871195177184,Customer_51
2023-08-07,Product_6,7,57.16560515458487,Customer_29
2023-10-03,Product_4,8,77.40830821924014,Customer_84
2023-12-10,Product_5,1,15.459714087613971,Customer_36
2023-07-04,Product_10,6,71.42055952332385,Customer_20
2023-03-22,Product_9,9,19.605352344308073,Customer_80
2023-07-01,Product_3,2,45.85426699015942,Customer_30
2023-02-14,Product_3,1,18.62590744343997,Customer_92
2023-02-11,Product_3,8,82.50703083546296,Customer_7
2023-07-03,Product_4,8,87.3910955489611,Customer_8
2023-03-25,Product_2,2,76.8500541016118,Customer_56
2023-08-16,Product_7,2,44.57795585756444,Customer_18
2023-09-07,Product_8,6,60.808364044775274,Customer_93
2023-12-14,Product_5,2,92.83604471043937,Customer_87
2023-06-18,Product_2,8,17.874744296811137,Customer_59
2023-07-26,Product_8,3,80.55421167897758,Customer_50
2023-02-23,Product_9,4,64.40671145148595,Customer_83
2023-01-19,Product_1,8,44.35624685347951,Customer_84
2023-05-26,Product_10,7,64.08823382345635,Customer_58
2023-10-21,Product_3,7,65.3907770111262,Customer_65
2023-07-28,Product_7,8,11.106450015640593,Customer_28
2023-12-26,Product_6,8,86.99083606066513,Customer_84
2023-07-09,Product_2,9,91.71879934668713,Customer_62
2023-07-06,Product_5,2,17.631049621821415,Customer_81
2023-11-25,Product_8,7,72.96973370668641,Customer_24
2023-08-10,Product_9,4,10.171535935335172,Customer_91
2023-04-25,Product_5,2,43.441894588749285,Customer_70
2023-06-24,Product_4,1,86.79809428525687,Customer_74
2023-04-03,Product_10,2,77.04745216768775,Customer_48
2023-06-26,Product_9,6,76.20779909444524,Customer_96
2023-04-08,Product_4,4,89.11808351664507,Customer_89
2023-12-09,Product_7,5,33.77209005168414,Customer_33
2023-04-21,Product_8,6,61.89121113080954,Customer_93
2023-03-08,Product_10,9,90.56709165183909,Customer_68
2023-06-11,Product_3,7,36.587600341316254,Customer_12
2023-12-22,Product_7,3,22.835879980030565,Customer_28
2023-07-20,Product_3,2,58.19307009792965,Customer_73
2023-11-25,Product_2,8,78.94603255366731,Customer_15
2023-02-11,Product_10,9,27.468486807863,Customer_52
2023-07-23,Product_9,9,63.531978612622254,Customer_56
2023-07-15,Product_1,7,24.93476653098515,Customer_45
2023-01-02,Product_7,4,12.07288869601701,Customer_65
2023-05-03,Product_7,9,55.821084612389186,Customer_80
2023-07-27,Product_1,4,32.57688230273543,Customer_14
2023-11-10,Product_10,8,69.73401531687017,Customer_5
2023-10-03,Product_6,10,28.79560227011252,Customer_60
2023-08-12,Product_1,6,41.52703210671146,Customer_3
2023-12-08,Product_7,9,69.64722932292817,Customer_65
2023-07-27,Product_7,5,84.88605569100851,Customer_56
2023-05-26,Product_3,5,11.605709632110107,Customer_10
2023-02-22,Product_9,3,76.68862081709122,Customer_54
2023-07-02,Product_3,8,88.88406639613794,Customer_42
2023-12-13,Product_6,5,98.09224481107347,Customer_49
2023-07-20,Product_8,7,34.8370093518235,Customer_99
2023-04-28,Product_2,8,83.03291008093414,Customer_85
2023-04-24,Product_3,6,95.45610392565511,Customer_39
2023-08-03,Product_9,8,67.79887383631845,Customer_13
2023-08-14,Product_1,7,38.19021898758383,Customer_46
2023-04-19,Product_6,5,24.88372385507777,Customer_9
2023-12-10,Product_3,5,72.88556316115131,Customer_61
2023-03-05,Product_9,7,14.608607075906118,Customer_39
2023-11-14,Product_5,7,47.80338391728421,Customer_50
2023-09-05,Product_10,6,28.50312589065847,Customer_61
2023-08-07,Product_2,4,23.39195469796435,Customer_61
2023-07-07,Product_10,4,97.61126389651767,Customer_61
2023-06-05,Product_8,8,40.32766959989682,Customer_69
2023-07-15,Product_3,1,83.43583070578498,Customer_11
2023-02-26,Product_9,8,70.16345315530839,Customer_72
2023-08-21,Product_8,3,55.26116042778552,Customer_37
2023-04-20,Product_1,5,14.600847050323452,Customer_46
2023-12-20,Product_7,9,89.04322681556245,Customer_99
2023-06-20,Product_7,8,35.16023086336224,Customer_76
2023-12-18,Product_7,5,51.078563734012455,Customer_31
2023-10-05,Product_4,8,35.43067032801504,Customer_48
2023-03-15,Product_9,10,90.16418299200153,Customer_36
2023-05-03,Product_10,8,11.981270865381672,Customer_32
2023-10-01,Product_7,7,21.58676829592533,Customer_51
2023-06-10,Product_7,1,40.0334529221091,Customer_100
2023-12-10,Product_6,5,26.799800431806837,Customer_47
2023-06-08,Product_8,5,85.78189360413151,Customer_22
2023-11-23,Product_7,10,59.51203116848364,Customer_93
2023-02-20,Product_6,4,82.19960935161116,Customer_11
2023-03-22,Product_5,9,49.54062656129072,Customer_78
2023-01-19,Product_1,9,28.626999689042236,Customer_29
